fraction, round-robin, simple-drain
0.00195312,1534.5,1024.5
0.00390625,1918.5,1025
0.00585938,1961,1026.83
0.0078125,1982.38,1028.88
0.00976562,1995.1,1030.9
0.0117188,2003.67,1032.92
0.0136719,2009.71,1034.93
0.015625,2014.31,1036.94
0.0175781,2017.83,1038.94
0.0195312,2020.7,1040.95
0.0214844,2023,1042.95
0.0234375,2024.96,1044.96
0.0253906,2026.58,1046.96
0.0273438,2028,1048.96
0.0292969,2029.2,1050.97
0.03125,2030.28,1052.97
0.0332031,2031.21,1054.97
0.0351562,2032.06,1056.97
0.0371094,2032.79,1058.97
0.0390625,2033.47,1060.97
0.0410156,2034.07,1062.98
0.0429688,2034.64,1064.98
0.0449219,2035.13,1066.98
0.046875,2035.6,1068.98
0.0488281,2036.02,1070.98
0.0507812,2036.42,1072.98
0.0527344,2036.78,1074.98
0.0546875,2037.12,1076.98
0.0566406,2037.43,1078.98
0.0585938,2037.73,1080.98
0.0605469,2038,1082.98
0.0625,2038.27,1084.98
0.0644531,2038.5,1086.98
0.0664062,2038.74,1088.99
0.0683594,2038.94,1090.99
0.0703125,2039.15,1092.99
0.0722656,2039.34,1094.99
0.0742188,2039.53,1096.99
0.0761719,2039.69,1098.99
0.078125,2039.86,1100.99
0.0800781,2040.01,1102.99
0.0820312,2040.17,1104.99
0.0839844,2040.3,1106.99
0.0859375,2040.44,1108.99
0.0878906,2040.57,1110.99
0.0898438,2040.7,1112.99
0.0917969,2040.81,1114.99
0.09375,2040.93,1116.99
0.0957031,2041.03,1118.99
0.0976562,2041.14,1120.99
0.0996094,2041.24,1122.99
0.101562,2041.34,1124.99
0.103516,2041.42,1126.99
0.105469,2041.52,1128.99
0.107422,2041.6,1130.99
0.109375,2041.69,1132.99
0.111328,2041.76,1134.99
0.113281,2041.84,1136.99
0.115234,2041.92,1138.99
0.117188,2041.99,1140.99
0.119141,2042.06,1142.99
0.121094,2042.13,1144.99
0.123047,2042.19,1146.99
0.125,2042.26,1148.99
0.126953,2042.32,1150.99
0.128906,2042.38,1152.99
0.130859,2042.43,1154.99
0.132812,2042.49,1156.99
0.134766,2042.54,1158.99
0.136719,2042.6,1160.99
0.138672,2042.65,1162.99
0.140625,2042.7,1164.99
0.142578,2042.75,1166.99
0.144531,2042.8,1168.99
0.146484,2042.84,1170.99
0.148438,2042.89,1172.99
0.150391,2042.93,1174.99
0.152344,2042.97,1176.99
0.154297,2043.01,1178.99
0.15625,2043.06,1180.99
0.158203,2043.09,1182.99
0.160156,2043.13,1184.99
0.162109,2043.17,1186.99
0.164062,2043.21,1188.99
0.166016,2043.24,1190.99
0.167969,2043.28,1192.99
0.169922,2043.31,1194.99
0.171875,2043.35,1196.99
0.173828,2043.38,1198.99
0.175781,2043.41,1200.99
0.177734,2043.44,1202.99
0.179688,2043.47,1204.99
0.181641,2043.5,1206.99
0.183594,2043.53,1208.99
0.185547,2043.56,1210.99
0.1875,2043.59,1212.99
0.189453,2043.61,1214.99
0.191406,2043.64,1216.99
0.193359,2043.67,1218.99
0.195312,2043.69,1220.99
0.197266,2043.72,1223
0.199219,2043.75,1225
0.201172,2043.77,1227
0.203125,2043.79,1229
0.205078,2043.81,1231
0.207031,2043.84,1233
0.208984,2043.86,1235
0.210938,2043.88,1237
0.212891,2043.9,1239
0.214844,2043.93,1241
0.216797,2043.95,1243
0.21875,2043.97,1245
0.220703,2043.99,1247
0.222656,2044.01,1249
0.224609,2044.03,1251
0.226562,2044.05,1253
0.228516,2044.06,1255
0.230469,2044.08,1257
0.232422,2044.1,1259
0.234375,2044.12,1261
0.236328,2044.14,1263
0.238281,2044.16,1265
0.240234,2044.17,1267
0.242188,2044.19,1269
0.244141,2044.2,1271
0.246094,2044.22,1273
0.248047,2044.24,1275
0.25,2044.25,1277
0.251953,2044.27,1279
0.253906,2044.28,1281
0.255859,2044.3,1283
0.257812,2044.31,1285
0.259766,2044.33,1287
0.261719,2044.34,1289
0.263672,2044.36,1291
0.265625,2044.37,1293
0.267578,2044.38,1295
0.269531,2044.4,1297
0.271484,2044.41,1299
0.273438,2044.42,1301
0.275391,2044.44,1303
0.277344,2044.45,1305
0.279297,2044.46,1307
0.28125,2044.48,1309
0.283203,2044.49,1311
0.285156,2044.5,1313
0.287109,2044.51,1315
0.289062,2044.52,1317
0.291016,2044.53,1319
0.292969,2044.55,1321
0.294922,2044.56,1323
0.296875,2044.57,1325
0.298828,2044.58,1327
0.300781,2044.59,1329
0.302734,2044.6,1331
0.304688,2044.61,1333
0.306641,2044.62,1335
0.308594,2044.63,1337
0.310547,2044.64,1339
0.3125,2044.65,1341
0.314453,2044.66,1343
0.316406,2044.67,1345
0.318359,2044.68,1347
0.320312,2044.69,1349
0.322266,2044.7,1351
0.324219,2044.71,1353
0.326172,2044.72,1355
0.328125,2044.73,1357
0.330078,2044.74,1359
0.332031,2044.75,1361
0.333984,2044.75,1363
0.335938,2044.76,1365
0.337891,2044.77,1367
0.339844,2044.78,1369
0.341797,2044.79,1371
0.34375,2044.8,1373
0.345703,2044.81,1375
0.347656,2044.81,1377
0.349609,2044.82,1379
0.351562,2044.83,1381
0.353516,2044.84,1383
0.355469,2044.85,1385
0.357422,2044.85,1387
0.359375,2044.86,1389
0.361328,2044.87,1391
0.363281,2044.88,1393
0.365234,2044.88,1395
0.367188,2044.89,1397
0.369141,2044.9,1399
0.371094,2044.91,1401
0.373047,2044.91,1403
0.375,2044.92,1405
0.376953,2044.92,1407
0.378906,2044.93,1409
0.380859,2044.94,1411
0.382812,2044.95,1413
0.384766,2044.95,1415
0.386719,2044.96,1417
0.388672,2044.96,1419
0.390625,2044.97,1421
0.392578,2044.98,1423
0.394531,2044.99,1425
0.396484,2044.99,1427
0.398438,2045,1429
0.400391,2045,1431
0.402344,2045.01,1433
0.404297,2045.01,1435
0.40625,2045.02,1437
0.408203,2045.03,1439
0.410156,2045.03,1441
0.412109,2045.04,1443
0.414062,2045.04,1445
0.416016,2045.05,1447
0.417969,2045.06,1449
0.419922,2045.06,1451
0.421875,2045.07,1453
0.423828,2045.07,1455
0.425781,2045.08,1457
0.427734,2045.08,1459
0.429688,2045.09,1461
0.431641,2045.09,1463
0.433594,2045.1,1465
0.435547,2045.1,1467
0.4375,2045.11,1469
0.439453,2045.11,1471
0.441406,2045.12,1473
0.443359,2045.12,1475
0.445312,2045.13,1477
0.447266,2045.13,1479
0.449219,2045.14,1481
0.451172,2045.14,1483
0.453125,2045.15,1485
0.455078,2045.15,1487
0.457031,2045.16,1489
0.458984,2045.16,1491
0.460938,2045.17,1493
0.462891,2045.17,1495
0.464844,2045.18,1497
0.466797,2045.18,1499
0.46875,2045.19,1501
0.470703,2045.19,1503
0.472656,2045.19,1505
0.474609,2045.2,1507
0.476562,2045.2,1509
0.478516,2045.21,1511
0.480469,2045.21,1513
0.482422,2045.21,1515
0.484375,2045.22,1517
0.486328,2045.22,1519
0.488281,2045.23,1521
0.490234,2045.23,1523
0.492188,2045.24,1525
0.494141,2045.24,1527
0.496094,2045.24,1529
0.498047,2045.25,1531
0.5,2045.25,1533
0.501953,2045.25,1535
0.503906,2045.26,1537
0.505859,2045.26,1539
0.507812,2045.27,1541
0.509766,2045.27,1543
0.511719,2045.27,1545
0.513672,2045.28,1547
0.515625,2045.28,1549
0.517578,2045.28,1551
0.519531,2045.29,1553
0.521484,2045.29,1555
0.523438,2045.3,1557
0.525391,2045.3,1559
0.527344,2045.3,1561
0.529297,2045.31,1563
0.53125,2045.31,1565
0.533203,2045.31,1567
0.535156,2045.32,1569
0.537109,2045.32,1571
0.539062,2045.32,1573
0.541016,2045.33,1575
0.542969,2045.33,1577
0.544922,2045.33,1579
0.546875,2045.34,1581
0.548828,2045.34,1583
0.550781,2045.34,1585
0.552734,2045.35,1587
0.554688,2045.35,1589
0.556641,2045.35,1591
0.558594,2045.36,1593
0.560547,2045.36,1595
0.5625,2045.36,1597
0.564453,2045.37,1599
0.566406,2045.37,1601
0.568359,2045.37,1603
0.570312,2045.38,1605
0.572266,2045.38,1607
0.574219,2045.38,1609
0.576172,2045.38,1611
0.578125,2045.39,1613
0.580078,2045.39,1615
0.582031,2045.39,1617
0.583984,2045.39,1619
0.585938,2045.4,1621
0.587891,2045.4,1623
0.589844,2045.4,1625
0.591797,2045.41,1627
0.59375,2045.41,1629
0.595703,2045.41,1631
0.597656,2045.42,1633
0.599609,2045.42,1635
0.601562,2045.42,1637
0.603516,2045.42,1639
0.605469,2045.43,1641
