fraction, round-robin, simple-drain
0.00195312,0.00260374,0.00390053
0.00390625,0.00390625,0.00780106
0.00585938,0.00585938,0.0116788
0.0078125,0.0078125,0.0155414
0.00976562,0.00976562,0.019389
0.0117188,0.0117188,0.0232217
0.0136719,0.0136719,0.0270396
0.015625,0.015625,0.0308428
0.0175781,0.0175781,0.0346313
0.0195312,0.0195312,0.0384052
0.0214844,0.0214844,0.0421646
0.0234375,0.0234375,0.0459097
0.0253906,0.0253906,0.0496404
0.0273438,0.0273438,0.0533568
0.0292969,0.0292969,0.0570592
0.03125,0.03125,0.0607474
0.0332031,0.0332031,0.0644216
0.0351562,0.0351562,0.0680819
0.0371094,0.0371094,0.0717284
0.0390625,0.0390625,0.0753611
0.0410156,0.0410156,0.0789802
0.0429688,0.0429688,0.0825856
0.0449219,0.0449219,0.0861775
0.046875,0.046875,0.089756
0.0488281,0.0488281,0.093321
0.0507812,0.0507812,0.0968728
0.0527344,0.0527344,0.100411
0.0546875,0.0546875,0.103937
0.0566406,0.0566406,0.107449
0.0585938,0.0585938,0.110948
0.0605469,0.0605469,0.114435
0.0625,0.0625,0.117908
0.0644531,0.0644531,0.121369
0.0664062,0.0664062,0.124817
0.0683594,0.0683594,0.128252
0.0703125,0.0703125,0.131675
0.0722656,0.0722656,0.135085
0.0742188,0.0742188,0.138483
0.0761719,0.0761719,0.141868
0.078125,0.078125,0.145241
0.0800781,0.0800781,0.148602
0.0820312,0.0820312,0.151951
0.0839844,0.0839844,0.155288
0.0859375,0.0859375,0.158612
0.0878906,0.0878906,0.161925
0.0898438,0.0898438,0.165225
0.0917969,0.0917969,0.168514
0.09375,0.09375,0.171791
0.0957031,0.0957031,0.175056
0.0976562,0.0976562,0.17831
0.0996094,0.0996094,0.181552
0.101562,0.101562,0.184782
0.103516,0.103516,0.188001
0.105469,0.105469,0.191209
0.107422,0.107422,0.194405
0.109375,0.109375,0.19759
0.111328,0.111328,0.200764
0.113281,0.113281,0.203926
0.115234,0.115234,0.207078
0.117188,0.117188,0.210218
0.119141,0.119141,0.213347
0.121094,0.121094,0.216466
0.123047,0.123047,0.219573
0.125,0.125,0.22267
0.126953,0.126953,0.225756
0.128906,0.128906,0.228831
0.130859,0.130859,0.231896
0.132812,0.132812,0.234949
0.134766,0.134766,0.237993
0.136719,0.136719,0.241026
0.138672,0.138672,0.244048
0.140625,0.140625,0.24706
0.142578,0.142578,0.250062
0.144531,0.144531,0.253053
0.146484,0.146484,0.256035
0.148438,0.148438,0.259006
0.150391,0.150391,0.261967
0.152344,0.152344,0.264917
0.154297,0.154297,0.267858
0.15625,0.15625,0.270789
0.158203,0.158203,0.27371
0.160156,0.160156,0.276621
0.162109,0.162109,0.279522
0.164062,0.164062,0.282414
0.166016,0.166016,0.285296
0.167969,0.167969,0.288168
0.169922,0.169922,0.29103
0.171875,0.171875,0.293883
0.173828,0.173828,0.296727
0.175781,0.175781,0.299561
0.177734,0.177734,0.302385
0.179688,0.179688,0.3052
0.181641,0.181641,0.308006
0.183594,0.183594,0.310802
0.185547,0.185547,0.31359
0.1875,0.1875,0.316368
0.189453,0.189453,0.319136
0.191406,0.191406,0.321896
0.193359,0.193359,0.324647
0.195312,0.195312,0.327389
0.197266,0.197266,0.330121
0.199219,0.199219,0.332845
0.201172,0.201172,0.33556
0.203125,0.203125,0.338266
0.205078,0.205078,0.340963
0.207031,0.207031,0.343652
0.208984,0.208984,0.346331
0.210938,0.210938,0.349003
0.212891,0.212891,0.351665
0.214844,0.214844,0.354319
0.216797,0.216797,0.356964
0.21875,0.21875,0.359601
0.220703,0.220703,0.362229
0.222656,0.222656,0.364849
0.224609,0.224609,0.367461
0.226562,0.226562,0.370064
0.228516,0.228516,0.372659
0.230469,0.230469,0.375246
0.232422,0.232422,0.377824
0.234375,0.234375,0.380394
0.236328,0.236328,0.382956
0.238281,0.238281,0.38551
0.240234,0.240234,0.388056
0.242188,0.242188,0.390594
0.244141,0.244141,0.393124
0.246094,0.246094,0.395646
0.248047,0.248047,0.39816
0.25,0.25,0.400666
0.251953,0.251953,0.403164
0.253906,0.253906,0.405655
0.255859,0.255859,0.408138
0.257812,0.257812,0.410613
0.259766,0.259766,0.41308
0.261719,0.261719,0.415539
0.263672,0.263672,0.417991
0.265625,0.265625,0.420436
0.267578,0.267578,0.422873
0.269531,0.269531,0.425302
0.271484,0.271484,0.427724
0.273438,0.273438,0.430138
0.275391,0.275391,0.432545
0.277344,0.277344,0.434945
0.279297,0.279297,0.437337
0.28125,0.28125,0.439722
0.283203,0.283203,0.4421
0.285156,0.285156,0.44447
0.287109,0.287109,0.446833
0.289062,0.289062,0.449189
0.291016,0.291016,0.451538
0.292969,0.292969,0.45388
0.294922,0.294922,0.456214
0.296875,0.296875,0.458542
0.298828,0.298828,0.460862
0.300781,0.300781,0.463176
0.302734,0.302734,0.465483
0.304688,0.304688,0.467782
0.306641,0.306641,0.470075
0.308594,0.308594,0.472361
0.310547,0.310547,0.47464
0.3125,0.3125,0.476912
0.314453,0.314453,0.479178
0.316406,0.316406,0.481437
0.318359,0.318359,0.483689
0.320312,0.320312,0.485934
0.322266,0.322266,0.488173
0.324219,0.324219,0.490405
0.326172,0.326172,0.49263
0.328125,0.328125,0.494849
0.330078,0.330078,0.497062
0.332031,0.332031,0.499268
0.333984,0.333984,0.501467
0.335938,0.335938,0.50366
0.337891,0.337891,0.505847
0.339844,0.339844,0.508027
0.341797,0.341797,0.5102
0.34375,0.34375,0.512368
0.345703,0.345703,0.514529
0.347656,0.347656,0.516684
0.349609,0.349609,0.518832
0.351562,0.351562,0.520975
0.353516,0.353516,0.523111
0.355469,0.355469,0.525241
0.357422,0.357422,0.527365
0.359375,0.359375,0.529483
0.361328,0.361328,0.531594
0.363281,0.363281,0.5337
0.365234,0.365234,0.535799
0.367188,0.367188,0.537893
0.369141,0.369141,0.53998
0.371094,0.371094,0.542062
0.373047,0.373047,0.544138
0.375,0.375,0.546207
0.376953,0.376953,0.548271
0.378906,0.378906,0.550329
0.380859,0.380859,0.552381
0.382812,0.382812,0.554427
0.384766,0.384766,0.556468
0.386719,0.386719,0.558503
0.388672,0.388672,0.560532
0.390625,0.390625,0.562555
0.392578,0.392578,0.564573
0.394531,0.394531,0.566585
0.396484,0.396484,0.568591
0.398438,0.398438,0.570592
0.400391,0.400391,0.572587
0.402344,0.402344,0.574576
0.404297,0.404297,0.57656
0.40625,0.40625,0.578538
0.408203,0.408203,0.580511
0.410156,0.410156,0.582479
0.412109,0.412109,0.584441
0.414062,0.414062,0.586397
0.416016,0.416016,0.588349
0.417969,0.417969,0.590294
0.419922,0.419922,0.592235
0.421875,0.421875,0.59417
0.423828,0.423828,0.596099
0.425781,0.425781,0.598024
0.427734,0.427734,0.599943
0.429688,0.429688,0.601857
0.431641,0.431641,0.603765
0.433594,0.433594,0.605669
0.435547,0.435547,0.607567
0.4375,0.4375,0.60946
0.439453,0.439453,0.611348
0.441406,0.441406,0.613231
0.443359,0.443359,0.615108
0.445312,0.445312,0.616981
0.447266,0.447266,0.618849
0.449219,0.449219,0.620711
0.451172,0.451172,0.622568
0.453125,0.453125,0.624421
0.455078,0.455078,0.626268
0.457031,0.457031,0.628111
0.458984,0.458984,0.629948
0.460938,0.460938,0.631781
0.462891,0.462891,0.633609
0.464844,0.464844,0.635431
0.466797,0.466797,0.637249
0.46875,0.46875,0.639062
0.470703,0.470703,0.640871
0.472656,0.472656,0.642674
0.474609,0.474609,0.644473
0.476562,0.476562,0.646267
0.478516,0.478516,0.648056
0.480469,0.480469,0.64984
0.482422,0.482422,0.65162
0.484375,0.484375,0.653395
0.486328,0.486328,0.655165
0.488281,0.488281,0.656931
0.490234,0.490234,0.658692
0.492188,0.492188,0.660448
0.494141,0.494141,0.6622
0.496094,0.496094,0.663947
0.498047,0.498047,0.66569
0.5,0.5,0.667428
0.501953,0.501953,0.669162
0.503906,0.503906,0.670891
0.505859,0.505859,0.672615
0.507812,0.507812,0.674335
0.509766,0.509766,0.676051
0.511719,0.511719,0.677762
0.513672,0.513672,0.679469
0.515625,0.515625,0.681171
0.517578,0.517578,0.682869
0.519531,0.519531,0.684563
0.521484,0.521484,0.686252
0.523438,0.523438,0.687937
0.525391,0.525391,0.689617
0.527344,0.527344,0.691294
0.529297,0.529297,0.692965
0.53125,0.53125,0.694633
0.533203,0.533203,0.696297
0.535156,0.535156,0.697956
0.537109,0.537109,0.699611
0.539062,0.539062,0.701261
0.541016,0.541016,0.702908
0.542969,0.542969,0.70455
0.544922,0.544922,0.706188
0.546875,0.546875,0.707822
0.548828,0.548828,0.709452
0.550781,0.550781,0.711078
0.552734,0.552734,0.7127
0.554688,0.554688,0.714317
0.556641,0.556641,0.715931
0.558594,0.558594,0.71754
0.560547,0.560547,0.719146
0.5625,0.5625,0.720747
0.564453,0.564453,0.722345
0.566406,0.566406,0.723938
0.568359,0.568359,0.725527
0.570312,0.570312,0.727113
0.572266,0.572266,0.728694
0.574219,0.574219,0.730272
0.576172,0.576172,0.731846
0.578125,0.578125,0.733415
0.580078,0.580078,0.734981
0.582031,0.582031,0.736543
0.583984,0.583984,0.738101
0.585938,0.585938,0.739656
0.587891,0.587891,0.741206
0.589844,0.589844,0.742753
0.591797,0.591797,0.744296
0.59375,0.59375,0.745835
0.595703,0.595703,0.74737
0.597656,0.597656,0.748901
0.599609,0.599609,0.750429
0.601562,0.601562,0.751953
0.603516,0.603516,0.753473
0.605469,0.605469,0.75499
0.607422,0.607422,0.756503
0.609375,0.609375,0.758012
0.611328,0.611328,0.759518
0.613281,0.613281,0.76102
0.615234,0.615234,0.762518
0.617188,0.617188,0.764012
0.619141,0.619141,0.765503
0.621094,0.621094,0.766991
0.623047,0.623047,0.768475
0.625,0.625,0.769955
0.626953,0.626953,0.771431
0.628906,0.628906,0.772905
0.630859,0.630859,0.774374
0.632812,0.632812,0.77584
0.634766,0.634766,0.777303
0.636719,0.636719,0.778762
0.638672,0.638672,0.780217
0.640625,0.640625,0.78167
0.642578,0.642578,0.783118
0.644531,0.644531,0.784563
0.646484,0.646484,0.786005
0.648438,0.648438,0.787443
0.650391,0.650391,0.788878
0.652344,0.652344,0.79031
0.654297,0.654297,0.791738
0.65625,0.65625,0.793163
0.658203,0.658203,0.794584
0.660156,0.660156,0.796002
0.662109,0.662109,0.797417
0.664062,0.664062,0.798828
0.666016,0.666016,0.800236
0.667969,0.667969,0.801641
0.669922,0.669922,0.803042
0.671875,0.671875,0.804441
0.673828,0.673828,0.805835
0.675781,0.675781,0.807227
0.677734,0.677734,0.808615
0.679688,0.679688,0.810001
0.681641,0.681641,0.811382
0.683594,0.683594,0.812761
0.685547,0.685547,0.814137
0.6875,0.6875,0.815509
0.689453,0.689453,0.816878
0.691406,0.691406,0.818244
0.693359,0.693359,0.819607
0.695312,0.695312,0.820967
0.697266,0.697266,0.822323
0.699219,0.699219,0.823676
0.701172,0.701172,0.825027
0.703125,0.703125,0.826374
0.705078,0.705078,0.827718
0.707031,0.707031,0.829059
0.708984,0.708984,0.830397
0.710938,0.710938,0.831732
0.712891,0.712891,0.833064
0.714844,0.714844,0.834392
0.716797,0.716797,0.835718
0.71875,0.71875,0.837041
0.720703,0.720703,0.838361
0.722656,0.722656,0.839677
0.724609,0.724609,0.840991
0.726562,0.726562,0.842302
0.728516,0.728516,0.84361
0.730469,0.730469,0.844914
0.732422,0.732422,0.846216
0.734375,0.734375,0.847515
0.736328,0.736328,0.848811
0.738281,0.738281,0.850104
0.740234,0.740234,0.851394
0.742188,0.742188,0.852682
0.744141,0.744141,0.853966
0.746094,0.746094,0.855248
0.748047,0.748047,0.856526
0.75,0.75,0.857802
0.751953,0.751953,0.859075
0.753906,0.753906,0.860345
0.755859,0.755859,0.861612
0.757812,0.757812,0.862877
0.759766,0.759766,0.864138
0.761719,0.761719,0.865397
0.763672,0.763672,0.866653
0.765625,0.765625,0.867906
0.767578,0.767578,0.869157
0.769531,0.769531,0.870405
0.771484,0.771484,0.871649
0.773438,0.773438,0.872892
0.775391,0.775391,0.874131
0.777344,0.777344,0.875368
0.779297,0.779297,0.876602
0.78125,0.78125,0.877833
0.783203,0.783203,0.879062
0.785156,0.785156,0.880288
0.787109,0.787109,0.881511
0.789062,0.789062,0.882731
0.791016,0.791016,0.883949
0.792969,0.792969,0.885164
0.794922,0.794922,0.886377
0.796875,0.796875,0.887587
0.798828,0.798828,0.888794
0.800781,0.800781,0.889999
0.802734,0.802734,0.891201
0.804688,0.804688,0.8924
0.806641,0.806641,0.893597
0.808594,0.808594,0.894791
0.810547,0.810547,0.895983
0.8125,0.8125,0.897172
0.814453,0.814453,0.898358
0.816406,0.816406,0.899542
0.818359,0.818359,0.900724
0.820312,0.820312,0.901903
0.822266,0.822266,0.903079
0.824219,0.824219,0.904253
0.826172,0.826172,0.905424
0.828125,0.828125,0.906593
0.830078,0.830078,0.907759
0.832031,0.832031,0.908923
0.833984,0.833984,0.910084
0.835938,0.835938,0.911243
0.837891,0.837891,0.9124
0.839844,0.839844,0.913553
0.841797,0.841797,0.914705
0.84375,0.84375,0.915854
0.845703,0.845703,0.917
0.847656,0.847656,0.918145
0.849609,0.849609,0.919286
0.851562,0.851562,0.920426
0.853516,0.853516,0.921563
0.855469,0.855469,0.922697
0.857422,0.857422,0.923829
0.859375,0.859375,0.924959
0.861328,0.861328,0.926086
0.863281,0.863281,0.927211
0.865234,0.865234,0.928334
0.867188,0.867188,0.929454
0.869141,0.869141,0.930572
0.871094,0.871094,0.931688
0.873047,0.873047,0.932801
0.875,0.875,0.933912
0.876953,0.876953,0.93502
0.878906,0.878906,0.936127
0.880859,0.880859,0.937231
0.882812,0.882812,0.938332
0.884766,0.884766,0.939432
0.886719,0.886719,0.940529
0.888672,0.888672,0.941624
0.890625,0.890625,0.942716
0.892578,0.892578,0.943807
0.894531,0.894531,0.944895
0.896484,0.896484,0.945981
0.898438,0.898438,0.947064
0.900391,0.900391,0.948146
0.902344,0.902344,0.949225
0.904297,0.904297,0.950302
0.90625,0.90625,0.951376
0.908203,0.908203,0.952449
0.910156,0.910156,0.953519
0.912109,0.912109,0.954587
0.914062,0.914062,0.955653
0.916016,0.916016,0.956717
0.917969,0.917969,0.957779
0.919922,0.919922,0.958838
0.921875,0.921875,0.959895
0.923828,0.923828,0.96095
0.925781,0.925781,0.962003
0.927734,0.927734,0.963054
0.929688,0.929688,0.964103
0.931641,0.931641,0.965149
0.933594,0.933594,0.966194
0.935547,0.935547,0.967236
0.9375,0.9375,0.968277
0.939453,0.939453,0.969315
0.941406,0.941406,0.970351
0.943359,0.943359,0.971385
0.945312,0.945312,0.972417
0.947266,0.947266,0.973446
0.949219,0.949219,0.974474
0.951172,0.951172,0.9755
0.953125,0.953125,0.976523
0.955078,0.955078,0.977545
0.957031,0.957031,0.978564
0.958984,0.958984,0.979582
0.960938,0.960938,0.980597
0.962891,0.962891,0.981611
0.964844,0.964844,0.982622
0.966797,0.966797,0.983632
0.96875,0.96875,0.984639
0.970703,0.970703,0.985644
0.972656,0.972656,0.986648
0.974609,0.974609,0.987649
0.976562,0.976562,0.988649
0.978516,0.978516,0.989646
0.980469,0.980469,0.990642
0.982422,0.982422,0.991635
0.984375,0.984375,0.992627
0.986328,0.986328,0.993616
0.988281,0.988281,0.994604
0.990234,0.990234,0.99559
0.992188,0.992188,0.996573
0.994141,0.994141,0.997555
0.996094,0.996094,0.998535
0.998047,0.998047,0.999513
1,1,1.00049
