flow_id,size,source,target,fct
1,1023,405,0,1830
3,1023,406,1,1831
5,1023,407,2,1831
7,1023,408,3,1831
9,1023,409,4,1831
11,1023,410,5,1831
13,1023,411,6,1831
15,1023,412,7,1831
17,1023,413,8,1831
19,1023,414,9,1831
21,1023,415,10,1831
23,1023,416,11,1831
25,1023,417,12,1831
27,1023,418,13,1831
29,1023,419,14,1831
31,1023,420,15,1831
33,1023,421,16,1831
35,1023,422,17,1831
37,1023,423,18,1831
39,1023,424,19,1831
41,1023,425,20,1831
43,1023,426,21,1831
45,1023,427,22,1831
47,1023,428,23,1831
49,1023,429,24,1831
51,1023,430,25,1831
53,1023,431,26,1831
55,1023,432,27,1831
57,1023,433,28,1831
59,1023,434,29,1831
61,1023,435,30,1831
63,1023,436,31,1831
65,1023,437,32,1831
67,1023,438,33,1831
69,1023,439,34,1831
71,1023,440,35,1831
73,1023,441,36,1831
75,1023,442,37,1831
77,1023,443,38,1831
79,1023,444,39,1831
81,1023,445,40,1831
83,1023,446,41,1831
85,1023,447,42,1831
87,1023,448,43,1831
89,1023,449,44,1831
91,1023,450,45,1831
93,1023,451,46,1831
95,1023,452,47,1831
97,1023,453,48,1831
99,1023,454,49,1831
101,1023,455,50,1831
103,1023,456,51,1831
105,1023,457,52,1831
107,1023,458,53,1831
109,1023,459,54,1831
111,1023,460,55,1831
113,1023,461,56,1831
115,1023,462,57,1831
117,1023,463,58,1831
119,1023,464,59,1831
121,1023,465,60,1831
123,1023,466,61,1831
125,1023,467,62,1831
127,1023,468,63,1831
129,1023,469,64,1831
131,1023,470,65,1831
133,1023,471,66,1831
135,1023,472,67,1831
137,1023,473,68,1831
139,1023,474,69,1831
141,1023,475,70,1831
143,1023,476,71,1831
145,1023,477,72,1831
147,1023,478,73,1831
149,1023,479,74,1831
151,1023,480,75,1831
153,1023,481,76,1831
155,1023,482,77,1831
157,1023,483,78,1831
159,1023,484,79,1831
161,1023,485,80,1831
163,1023,486,81,1831
165,1023,487,82,1831
167,1023,488,83,1831
169,1023,489,84,1831
171,1023,490,85,1831
173,1023,491,86,1831
175,1023,492,87,1831
177,1023,493,88,1831
179,1023,494,89,1831
181,1023,495,90,1831
183,1023,496,91,1831
185,1023,497,92,1831
187,1023,498,93,1831
189,1023,499,94,1831
191,1023,500,95,1831
193,1023,501,96,1831
195,1023,502,97,1831
197,1023,503,98,1831
199,1023,504,99,1831
201,1023,505,100,1831
203,1023,506,101,1831
205,1023,507,102,1831
207,1023,508,103,1831
209,1023,509,104,1831
211,1023,510,105,1831
213,1023,511,106,1831
215,1023,512,107,1831
217,1023,513,108,1831
219,1023,514,109,1831
221,1023,515,110,1831
223,1023,516,111,1831
225,1023,517,112,1831
227,1023,518,113,1831
229,1023,519,114,1831
231,1023,520,115,1831
233,1023,521,116,1831
235,1023,522,117,1831
237,1023,523,118,1831
239,1023,524,119,1831
241,1023,525,120,1831
243,1023,526,121,1831
245,1023,527,122,1831
247,1023,528,123,1831
249,1023,529,124,1831
251,1023,530,125,1831
253,1023,531,126,1831
255,1023,532,127,1831
257,1023,533,128,1831
259,1023,534,129,1831
261,1023,535,130,1831
263,1023,536,131,1831
265,1023,537,132,1831
267,1023,538,133,1831
269,1023,539,134,1831
271,1023,540,135,1831
273,1023,541,136,1831
275,1023,542,137,1831
277,1023,543,138,1831
279,1023,544,139,1831
281,1023,545,140,1831
283,1023,546,141,1831
285,1023,547,142,1831
287,1023,548,143,1831
289,1023,549,144,1831
291,1023,550,145,1831
293,1023,551,146,1831
295,1023,552,147,1831
297,1023,553,148,1831
299,1023,554,149,1831
301,1023,555,150,1831
303,1023,556,151,1831
305,1023,557,152,1831
307,1023,558,153,1831
309,1023,559,154,1831
311,1023,560,155,1831
313,1023,561,156,1831
315,1023,562,157,1831
317,1023,563,158,1831
319,1023,564,159,1831
321,1023,565,160,1831
323,1023,566,161,1831
325,1023,567,162,1831
327,1023,568,163,1831
329,1023,569,164,1831
331,1023,570,165,1831
333,1023,571,166,1831
335,1023,572,167,1831
337,1023,573,168,1831
339,1023,574,169,1831
341,1023,575,170,1831
343,1023,576,171,1831
345,1023,577,172,1831
347,1023,578,173,1831
349,1023,579,174,1831
351,1023,580,175,1831
353,1023,581,176,1831
355,1023,582,177,1831
357,1023,583,178,1831
359,1023,584,179,1831
361,1023,585,180,1831
363,1023,586,181,1831
365,1023,587,182,1831
367,1023,588,183,1831
369,1023,589,184,1831
371,1023,590,185,1831
373,1023,591,186,1831
375,1023,592,187,1831
377,1023,593,188,1831
379,1023,594,189,1831
381,1023,595,190,1831
383,1023,596,191,1831
385,1023,597,192,1831
387,1023,598,193,1831
389,1023,599,194,1831
391,1023,600,195,1831
393,1023,601,196,1831
395,1023,602,197,1831
397,1023,603,198,1831
399,1023,604,199,1831
401,1023,605,200,1831
403,1023,606,201,1831
405,1023,607,202,1831
407,1023,608,203,1831
409,1023,609,204,1831
411,1023,610,205,1831
413,1023,611,206,1831
415,1023,612,207,1831
417,1023,613,208,1831
419,1023,614,209,1831
421,1023,615,210,1831
423,1023,616,211,1831
425,1023,617,212,1831
427,1023,618,213,1831
429,1023,619,214,1831
431,1023,620,215,1831
433,1023,621,216,1831
435,1023,622,217,1831
437,1023,623,218,1831
439,1023,624,219,1831
441,1023,625,220,1831
443,1023,626,221,1831
445,1023,627,222,1831
447,1023,628,223,1831
449,1023,629,224,1831
451,1023,630,225,1831
453,1023,631,226,1831
455,1023,632,227,1831
457,1023,633,228,1831
459,1023,634,229,1831
461,1023,635,230,1831
463,1023,636,231,1831
465,1023,637,232,1831
467,1023,638,233,1831
469,1023,639,234,1831
471,1023,640,235,1831
473,1023,641,236,1831
475,1023,642,237,1831
477,1023,643,238,1831
479,1023,644,239,1831
481,1023,645,240,1831
483,1023,646,241,1831
485,1023,647,242,1831
487,1023,648,243,1831
489,1023,649,244,1831
491,1023,650,245,1831
493,1023,651,246,1831
495,1023,652,247,1831
497,1023,653,248,1831
499,1023,654,249,1831
501,1023,655,250,1831
503,1023,656,251,1831
505,1023,657,252,1831
507,1023,658,253,1831
509,1023,659,254,1831
511,1023,660,255,1831
513,1023,661,256,1831
515,1023,662,257,1831
517,1023,663,258,1831
519,1023,664,259,1831
521,1023,665,260,1831
523,1023,666,261,1831
525,1023,667,262,1831
527,1023,668,263,1831
529,1023,669,264,1831
531,1023,670,265,1831
533,1023,671,266,1831
535,1023,672,267,1831
537,1023,673,268,1831
539,1023,674,269,1831
541,1023,675,270,1831
543,1023,676,271,1831
545,1023,677,272,1831
547,1023,678,273,1831
549,1023,679,274,1831
551,1023,680,275,1831
553,1023,681,276,1831
555,1023,682,277,1831
557,1023,683,278,1831
559,1023,684,279,1831
561,1023,685,280,1831
563,1023,686,281,1831
565,1023,687,282,1831
567,1023,688,283,1831
569,1023,689,284,1831
571,1023,690,285,1831
573,1023,691,286,1831
575,1023,692,287,1831
577,1023,693,288,1831
579,1023,694,289,1831
581,1023,695,290,1831
583,1023,696,291,1831
585,1023,697,292,1831
587,1023,698,293,1831
589,1023,699,294,1831
591,1023,700,295,1831
593,1023,701,296,1831
595,1023,702,297,1831
597,1023,703,298,1831
599,1023,704,299,1831
601,1023,705,300,1831
603,1023,706,301,1831
605,1023,707,302,1831
607,1023,708,303,1831
609,1023,709,304,1831
611,1023,710,305,1831
613,1023,711,306,1831
615,1023,712,307,1831
617,1023,713,308,1831
619,1023,714,309,1831
621,1023,715,310,1831
623,1023,716,311,1831
625,1023,717,312,1831
627,1023,718,313,1831
629,1023,719,314,1831
631,1023,720,315,1831
633,1023,721,316,1831
635,1023,722,317,1831
637,1023,723,318,1831
639,1023,724,319,1831
641,1023,725,320,1831
643,1023,726,321,1831
645,1023,727,322,1831
647,1023,728,323,1831
649,1023,729,324,1831
651,1023,730,325,1831
653,1023,731,326,1831
655,1023,732,327,1831
657,1023,733,328,1831
659,1023,734,329,1831
661,1023,735,330,1831
663,1023,736,331,1831
665,1023,737,332,1831
667,1023,738,333,1831
669,1023,739,334,1831
671,1023,740,335,1831
673,1023,741,336,1831
675,1023,742,337,1831
677,1023,743,338,1831
679,1023,744,339,1831
681,1023,745,340,1831
683,1023,746,341,1831
685,1023,747,342,1831
687,1023,748,343,1831
689,1023,749,344,1831
691,1023,750,345,1831
693,1023,751,346,1831
695,1023,752,347,1831
697,1023,753,348,1831
699,1023,754,349,1831
701,1023,755,350,1831
703,1023,756,351,1831
705,1023,757,352,1831
707,1023,758,353,1831
709,1023,759,354,1831
711,1023,760,355,1831
713,1023,761,356,1831
715,1023,762,357,1831
717,1023,763,358,1831
719,1023,764,359,1831
721,1023,765,360,1831
723,1023,766,361,1831
725,1023,767,362,1831
727,1023,768,363,1831
729,1023,769,364,1831
731,1023,770,365,1831
733,1023,771,366,1831
735,1023,772,367,1831
737,1023,773,368,1831
739,1023,774,369,1831
741,1023,775,370,1831
743,1023,776,371,1831
745,1023,777,372,1831
747,1023,778,373,1831
749,1023,779,374,1831
751,1023,780,375,1831
753,1023,781,376,1831
755,1023,782,377,1831
757,1023,783,378,1831
759,1023,784,379,1831
761,1023,785,380,1831
763,1023,786,381,1831
765,1023,787,382,1831
767,1023,788,383,1831
769,1023,789,384,1831
771,1023,790,385,1831
773,1023,791,386,1831
775,1023,792,387,1831
777,1023,793,388,1831
779,1023,794,389,1831
781,1023,795,390,1831
783,1023,796,391,1831
785,1023,797,392,1831
787,1023,798,393,1831
789,1023,799,394,1831
791,1023,800,395,1831
793,1023,801,396,1831
795,1023,802,397,1831
797,1023,803,398,1831
799,1023,804,399,1831
801,1023,805,400,1831
803,1023,806,401,1831
805,1023,807,402,1831
807,1023,808,403,1831
809,1023,809,404,1831
0,1023,0,405,1831
2,1023,1,406,1831
4,1023,2,407,1831
6,1023,3,408,1831
8,1023,4,409,1831
10,1023,5,410,1831
12,1023,6,411,1831
14,1023,7,412,1831
16,1023,8,413,1831
18,1023,9,414,1831
20,1023,10,415,1831
22,1023,11,416,1831
24,1023,12,417,1831
26,1023,13,418,1831
28,1023,14,419,1831
30,1023,15,420,1831
32,1023,16,421,1831
34,1023,17,422,1831
36,1023,18,423,1831
38,1023,19,424,1831
40,1023,20,425,1831
42,1023,21,426,1831
44,1023,22,427,1831
46,1023,23,428,1831
48,1023,24,429,1831
50,1023,25,430,1831
52,1023,26,431,1831
54,1023,27,432,1831
56,1023,28,433,1831
58,1023,29,434,1831
60,1023,30,435,1831
62,1023,31,436,1831
64,1023,32,437,1831
66,1023,33,438,1831
68,1023,34,439,1831
70,1023,35,440,1831
72,1023,36,441,1831
74,1023,37,442,1831
76,1023,38,443,1831
78,1023,39,444,1831
80,1023,40,445,1831
82,1023,41,446,1831
84,1023,42,447,1831
86,1023,43,448,1831
88,1023,44,449,1831
90,1023,45,450,1831
92,1023,46,451,1831
94,1023,47,452,1831
96,1023,48,453,1831
98,1023,49,454,1831
100,1023,50,455,1831
102,1023,51,456,1831
104,1023,52,457,1831
106,1023,53,458,1831
108,1023,54,459,1831
110,1023,55,460,1831
112,1023,56,461,1831
114,1023,57,462,1831
116,1023,58,463,1831
118,1023,59,464,1831
120,1023,60,465,1831
122,1023,61,466,1831
124,1023,62,467,1831
126,1023,63,468,1831
128,1023,64,469,1831
130,1023,65,470,1831
132,1023,66,471,1831
134,1023,67,472,1831
136,1023,68,473,1831
138,1023,69,474,1831
140,1023,70,475,1831
142,1023,71,476,1831
144,1023,72,477,1831
146,1023,73,478,1831
148,1023,74,479,1831
150,1023,75,480,1831
152,1023,76,481,1831
154,1023,77,482,1831
156,1023,78,483,1831
158,1023,79,484,1831
160,1023,80,485,1831
162,1023,81,486,1831
164,1023,82,487,1831
166,1023,83,488,1831
168,1023,84,489,1831
170,1023,85,490,1831
172,1023,86,491,1831
174,1023,87,492,1831
176,1023,88,493,1831
178,1023,89,494,1831
180,1023,90,495,1831
182,1023,91,496,1831
184,1023,92,497,1831
186,1023,93,498,1831
188,1023,94,499,1831
190,1023,95,500,1831
192,1023,96,501,1831
194,1023,97,502,1831
196,1023,98,503,1831
198,1023,99,504,1831
200,1023,100,505,1831
202,1023,101,506,1831
204,1023,102,507,1831
206,1023,103,508,1831
208,1023,104,509,1831
210,1023,105,510,1831
212,1023,106,511,1831
214,1023,107,512,1831
216,1023,108,513,1831
218,1023,109,514,1831
220,1023,110,515,1831
222,1023,111,516,1831
224,1023,112,517,1831
226,1023,113,518,1831
228,1023,114,519,1831
230,1023,115,520,1831
232,1023,116,521,1831
234,1023,117,522,1831
236,1023,118,523,1831
238,1023,119,524,1831
240,1023,120,525,1831
242,1023,121,526,1831
244,1023,122,527,1831
246,1023,123,528,1831
248,1023,124,529,1831
250,1023,125,530,1831
252,1023,126,531,1831
254,1023,127,532,1831
256,1023,128,533,1831
258,1023,129,534,1831
260,1023,130,535,1831
262,1023,131,536,1831
264,1023,132,537,1831
266,1023,133,538,1831
268,1023,134,539,1831
270,1023,135,540,1831
272,1023,136,541,1831
274,1023,137,542,1831
276,1023,138,543,1831
278,1023,139,544,1831
280,1023,140,545,1831
282,1023,141,546,1831
284,1023,142,547,1831
286,1023,143,548,1831
288,1023,144,549,1831
290,1023,145,550,1831
292,1023,146,551,1831
294,1023,147,552,1831
296,1023,148,553,1831
298,1023,149,554,1831
300,1023,150,555,1831
302,1023,151,556,1831
304,1023,152,557,1831
306,1023,153,558,1831
308,1023,154,559,1831
310,1023,155,560,1831
312,1023,156,561,1831
314,1023,157,562,1831
316,1023,158,563,1831
318,1023,159,564,1831
320,1023,160,565,1831
322,1023,161,566,1831
324,1023,162,567,1831
326,1023,163,568,1831
328,1023,164,569,1831
330,1023,165,570,1831
332,1023,166,571,1831
334,1023,167,572,1831
336,1023,168,573,1831
338,1023,169,574,1831
340,1023,170,575,1831
342,1023,171,576,1831
344,1023,172,577,1831
346,1023,173,578,1831
348,1023,174,579,1831
350,1023,175,580,1831
352,1023,176,581,1831
354,1023,177,582,1831
356,1023,178,583,1831
358,1023,179,584,1831
360,1023,180,585,1831
362,1023,181,586,1831
364,1023,182,587,1831
366,1023,183,588,1831
368,1023,184,589,1831
370,1023,185,590,1831
372,1023,186,591,1831
374,1023,187,592,1831
376,1023,188,593,1831
378,1023,189,594,1831
380,1023,190,595,1831
382,1023,191,596,1831
384,1023,192,597,1831
386,1023,193,598,1831
388,1023,194,599,1831
390,1023,195,600,1831
392,1023,196,601,1831
394,1023,197,602,1831
396,1023,198,603,1831
398,1023,199,604,1831
400,1023,200,605,1831
402,1023,201,606,1831
404,1023,202,607,1831
406,1023,203,608,1831
408,1023,204,609,1831
410,1023,205,610,1831
412,1023,206,611,1831
414,1023,207,612,1831
416,1023,208,613,1831
418,1023,209,614,1831
420,1023,210,615,1831
422,1023,211,616,1831
424,1023,212,617,1831
426,1023,213,618,1831
428,1023,214,619,1831
430,1023,215,620,1831
432,1023,216,621,1831
434,1023,217,622,1831
436,1023,218,623,1831
438,1023,219,624,1831
440,1023,220,625,1831
442,1023,221,626,1831
444,1023,222,627,1831
446,1023,223,628,1831
448,1023,224,629,1831
450,1023,225,630,1831
452,1023,226,631,1831
454,1023,227,632,1831
456,1023,228,633,1831
458,1023,229,634,1831
460,1023,230,635,1831
462,1023,231,636,1831
464,1023,232,637,1831
466,1023,233,638,1831
468,1023,234,639,1831
470,1023,235,640,1831
472,1023,236,641,1831
474,1023,237,642,1831
476,1023,238,643,1831
478,1023,239,644,1831
480,1023,240,645,1831
482,1023,241,646,1831
484,1023,242,647,1831
486,1023,243,648,1831
488,1023,244,649,1831
490,1023,245,650,1831
492,1023,246,651,1831
494,1023,247,652,1831
496,1023,248,653,1831
498,1023,249,654,1831
500,1023,250,655,1831
502,1023,251,656,1831
504,1023,252,657,1831
506,1023,253,658,1831
508,1023,254,659,1831
510,1023,255,660,1831
512,1023,256,661,1831
514,1023,257,662,1831
516,1023,258,663,1831
518,1023,259,664,1831
520,1023,260,665,1831
522,1023,261,666,1831
524,1023,262,667,1831
526,1023,263,668,1831
528,1023,264,669,1831
530,1023,265,670,1831
