flow_id,size,source,target,fct
2,73,866,539,413
0,117,695,957,981
4,80,667,74,926
5,55,367,170,278
7,95,272,92,1436
8,98,963,51,1502
9,121,16,704,1061
15,60,908,667,468
14,84,27,726,550
11,116,275,425,2158
10,91,359,525,2788
12,88,547,510,2041
19,70,398,208,411
17,95,145,578,1099
18,112,129,666,898
16,103,604,978,1148
21,94,801,466,1576
20,123,94,166,1761
23,98,773,473,1232
26,81,730,500,1331
24,103,871,296,2883
28,119,902,450,1915
3,128,1014,374,10308
29,28,1023,157,1487
31,105,218,83,1612
32,82,275,708,767
33,86,1006,249,1340
34,86,181,848,2242
13,101,639,862,8743
22,102,256,881,6515
25,101,590,897,5802
27,101,886,911,5080
35,117,813,712,1967
40,55,80,378,1071
38,134,570,756,1204
41,95,746,738,1756
47,86,764,446,320
44,77,864,710,1145
43,110,535,849,1241
42,37,620,1010,1574
46,79,4,507,1397
45,79,723,724,1659
51,102,853,712,1237
49,62,56,72,1870
54,59,265,257,1594
58,95,787,511,1023
60,116,169,761,441
1,9941,392,68,19341
59,114,37,236,1712
61,70,971,495,1449
64,146,107,861,1357
62,26,531,790,1736
6,10003,926,516,18850
70,86,620,65,1048
68,79,392,82,1294
69,77,3,272,1214
71,111,854,743,1912
39,98,602,530,10286
73,95,35,536,2362
37,74,538,567,10487
81,140,616,741,919
90,149,110,784,359
85,91,625,957,1262
87,36,543,960,767
77,168,877,529,3542
79,120,226,389,3132
76,121,834,554,3619
66,121,465,411,5821
53,129,128,566,8817
86,86,727,547,2031
63,95,336,456,6643
91,88,586,496,1186
83,73,585,603,2470
92,95,503,376,2103
95,85,32,822,1054
65,168,590,892,8326
80,116,947,952,5122
75,88,151,1021,5908
96,113,962,430,1484
97,40,194,760,1069
67,157,296,107,8868
55,72,681,119,11264
57,122,856,126,11209
30,9854,698,696,20280
99,89,787,650,2156
101,92,999,643,2211
103,30,149,112,1113
74,127,337,237,10171
102,98,495,461,2542
84,96,35,251,8552
104,97,201,347,1076
82,123,683,99,9828
